HandleCount	Name	OtherOperationCount	OtherTransferCount	PageFaults	PageFileUsage	ParentProcessId	Priority	ProcessId	ThreadCount
0	System Idle Process	0	0	9	60	0	0	0	12
6680	System	28500	1243094	2092	200	0	8	4	294
0	Registry	174	4835	38988	9308	4	8	144	4
53	smss.exe	501	10630	1096	1156	4	11	556	2
864	csrss.exe	5281	126681	5277	2028	656	13	848	15
160	wininit.exe	279	3714	2116	1404	656	13	936	1
914	csrss.exe	9815	110872	9048	2672	928	13	944	15
273	winlogon.exe	430	199538	6055	2564	928	13	124	4
861	services.exe	6699	119270	6863	5980	936	9	572	10
1838	lsass.exe	79294	4642479	12344	9040	936	9	624	10
86	svchost.exe	9	110	1073	908	572	8	1100	1
1345	svchost.exe	10426	201163	13195	14328	572	8	1128	38
32	fontdrvhost.exe	28	744	1088	1788	936	8	1152	5
32	fontdrvhost.exe	2495	63690	12696	7500	124	8	1160	5
329	WUDFHost.exe	1412	473978	6871	9560	572	13	1180	11
1692	svchost.exe	3303	193778	14069	9068	572	8	1276	14
345	svchost.exe	102	922	2636	2972	572	8	1332	5
940	dwm.exe	1593	102000	42784	64412	124	13	1392	21
217	WUDFHost.exe	122	2388	1603	1504	572	8	1476	5
186	svchost.exe	123	4148	2106	1996	572	8	1496	5
118	svchost.exe	23	110	1465	1288	572	8	1544	3
252	svchost.exe	205	8140	2991	2596	572	8	1608	4
162	svchost.exe	56	626	3239	2128	572	8	1616	3
439	svchost.exe	1252	58676	4655	7116	572	8	1700	18
254	svchost.exe	73	3342	2330	2180	572	8	1708	3
134	svchost.exe	112	5206	1630	1552	572	8	1768	5
174	svchost.exe	32	454	2146	2060	572	8	1776	7
152	svchost.exe	75	1472	1757	1436	572	8	1872	3
181	svchost.exe	121	2330	2332	2064	572	8	2004	5
473	svchost.exe	1661	88102	9640	21196	572	8	2020	14
390	svchost.exe	722	7014	5406	3560	572	8	608	5
159	svchost.exe	16	142	1583	1420	572	8	1932	2
416	NVDisplay.Container.exe	903	20678	5959	5480	572	8	2136	9
179	svchost.exe	795	39054	2966	7012	572	8	2144	8
287	svchost.exe	370	21676	2517	2816	572	8	2216	11
226	svchost.exe	14458	680356	3344	3448	572	8	2264	3
198	svchost.exe	162	4780	3238	2508	572	8	2344	9
470	svchost.exe	7589	516046	4903	5736	572	8	2412	20
393	svchost.exe	27918	817662	5896	5044	572	8	2444	36
214	svchost.exe	6400	98568	19234	2476	572	8	2476	6
289	svchost.exe	26	110	1712	1336	572	8	2484	3
